"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Proximidade_Costa(milhas)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora","onda","vento","chuva"
"98","01:30:00","Noturno","4.8918333333333","-1.6978333333333","Gana","Cargo Ship","Panamá","Fundeado","2.3","Área Portuária","ROUBO","1","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","2020-12-26 00:00:00","2020-12-26 01:30:00","1.0082352582146","0.9296875","2.144190985442E-5"
"99","02:35:00","Noturno","4.8835","-1.6996666666667","Gana","Bulk carrier","IlhasMarshall","Fundeado","0.75","Área Portuária","ROUBO","3","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2020-06-30 00:00:00","2020-06-30 02:35:00","1.7161764257094","2.3896484375","2.3180443085857E-7"
"100","00:30:00","Noturno","4.9","-1.7","Gana","Supply Ship","Singapura","Fundeado","3.5","Área Portuária","NCONSEGUIDO","2","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2018-05-03 00:00:00","2018-05-03 00:30:00","1.221","5.3701171875","0"
"101","01:35:00","Noturno ","4.9183333333333","-1.7016666666667","Gana","Tug","Reino Unido","Fundeado","1","Área Portuária","ROUBO","2","Knives","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","2011-05-12 00:00:00","2011-05-12 01:35:00","1.48125","3.400390625","7.7571003203047E-6"
"102","02:45:00","Noturno","4.8933333333333","-1.705","Gana","Supply Ship","Singapura","Fundeado","2","Área Portuária","NCONSEGUIDO","","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2018-06-13 00:00:00","2018-06-13 02:45:00","0.86","3.66015625","0"
"103","03:00:00","Noturno ","4.9168333333333","-1.706","Gana","Supply Ship","Libéria","Fundeado","1.25","Área Portuária","ROUBO","4","Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2012-02-09 00:00:00","2012-02-09 03:00:00","0.88225","2.7998046875","0"
"104","20:30:00","Noturno ","4.9","-1.7083333333333","Gana","Supply Ship","Panamá","Fundeado","2","Área Portuária","NCONSEGUIDO","1","Knives","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","2012-03-04 00:00:00","2012-03-04 20:30:00","1.46325","3.3203125","0"
"105","02:15:00","Noturno","4.8866666666667","-1.71","Gana","Cargo Ship","Libéria","Fundeado","1.1","Área Portuária","ROUBO","","Desconhecido","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2020-11-13 00:00:00","2020-11-13 02:15:00","1.2432258359848","1.900390625","2.3180443085857E-7"
"106","05:00:00","Noturno ","4.4333333333333","-1.7166666666667","Gana ","Outros","Gana","Navegar","27","Águas Internacionais","HOMICIDIO","6","Machine Gun","1","0","0","1","7","0","0","1","1","1","0","1","0","0","0","0","0","2015-01-30 00:00:00","2015-01-30 05:00:00","1.31","3.5302734375","0"
"107","02:55:00","Noturno ","4.9","-1.7166666666667","Gana","Tug","Países Baixos","Fundeado","1","Área Portuária","NCONSEGUIDO","3","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2014-08-20 00:00:00","2014-08-20 02:55:00","1.1355","2.58984375","0"
