"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Distância_Costa(MN)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora"
"21","21:30:00","Noturno ","3.8833333333333","9.5333333333333","Camarões","Cargo Ship","SãoCristóvão&Neves","Fundeado","","Área Portuária","ROUBO","12","Machine Gun","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","1","0","2010-09-12 00:00:00","2010-09-12 21:30:00"
"22","03:30:00","Noturno ","3.8758333333333","9.535","Camarões","Cargo Ship","IlhasMarshall","Fundeado","","Área Portuária","ROUBO","2","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2010-09-19 00:00:00","2010-09-19 03:30:00"
"23","02:36:00","Noturno ","3.8333333333333","6.91","Nigéria","Barge Carrier","Reino Unido","Navegar","","Águas Internacionais","ROUBO","21","","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","2010-09-22 00:00:00","2010-09-22 02:36:00"
"24","22:00:00","Noturno ","6.4416666666667","3.387","Nigéria","Cargo Ship","China","Fundeado","","Área Portuária","ROUBO","4","Machine Gun/ Knives","0","0","0","1","1","1","1","0","0","1","1","0","0","0","0","1","0","2010-09-22 00:00:00","2010-09-22 22:00:00"
"25","18:45:00","Diurno","6.34","3.4166666666667","Nigéria","Bulk Carrier","Panamá","Fundeado","","Mar Territorial","ROUBO","5","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2010-09-23 00:00:00","2010-09-23 18:45:00"
"26","00:00:00","Noturno ","4.0575","6.8011666666667","Nigéria","Tanker","Belize","Fundeado","","Águas Internacionais","SEQUESTRO","6","Machine Gun","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","2010-10-01 00:00:00","2010-10-01 00:00:00"
"27","19:20:00","Noturno ","6.284","3.4243333333333","Nigéria","Chemical Tanker","IlhasMarshall","Fundeado","","Mar Territorial","ROUBO","8","Machine Gun/ Knives","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","2010-10-19 00:00:00","2010-10-19 19:20:00"
"28","23:01:00","Noturno ","6.125","3.445","Nigéria","Cargo Ship","China","Navegar","","Águas Internacionais","ROUBO","8","Machine Gun","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","1","0","2010-10-19 00:00:00","2010-10-19 23:01:00"
"29","07:56:00","Diurno","5.8133333333333","4.385","Nigéria","Tanker","Ilha de Man","Navegar","","Águas Internacionais","NCONSEGUIDO","6","","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2010-10-25 00:00:00","2010-10-25 07:56:00"
"30","18:00:00","Diurno","9.2916666666667","-13.283333333333","Guiné","Bulk Carrier","Malta","Navegar","","Área Portuária","ROUBO","5","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2010-10-31 00:00:00","2010-10-31 18:00:00"
"31","12:22:00","Diurno","4.6333333333333","8.3733333333333","Nigéria","Tanker","Singapura","Navegar","","Área Portuária","ROUBO","20","Machine Gun","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","2010-11-05 00:00:00","2010-11-05 12:22:00"
"32","22:28:00","Noturno ","6","3.66","Nigéria","Cargo Ship","Vanuatu","Navegar","","Águas Internacionais","NCONSEGUIDO","10","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2010-11-07 00:00:00","2010-11-07 22:28:00"
"33","00:45:00","Noturno ","9.2833333333333","-13.966666666667","Guiné","Chemical Tanker","Dinamarca","Fundeado","","Águas Internacionais","ROUBO","5","Machine Gun","0","0","0","0","0","1","3","0","0","1","1","0","0","0","0","1","0","2010-11-12 00:00:00","2010-11-12 00:45:00"
"34","02:35:00","Noturno ","5.2233333333333","-4.035","Costa do Marfim","Tanker","Panamá","Fundeado","","Mar Territorial","ROUBO","3","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2010-11-21 00:00:00","2010-11-21 02:35:00"
